;;;;;;;;;Formações;;;;Projetos;;;;Avaliações;;;;;CENSO;;;;;;;
;;;;;;;;;2021;;2022;;2021;;2022;;2021 - entrada;2021 - formativa;2021 - saída;2022 - entrada; 2022 - saída;;;;;;;;
Estado;Município;Cod Escola;Escola;Rede;Escola aderiu?;Data de adesão da escola;Rede aderiu?;Data de adesão da rede;Aprovados - formação professores;Aprovados - formação gestores;Aprovados - formação professores;Aprovados - formação gestores;Projetos selecionados;Projetos concluídos;Projetos selecionados;Projetos concluídos;Alunos avaliados LF - Março 21;Alunos avaliados LF - Agosto 21;Alunos avaliados LF - Novembro 21;Alunos avaliados LF - Abril 22;Alunos avaliados LF - Out 22;Qtde matrículas;Qtde turmas;Qtde docentes;Qtde diretores;Localização;Indígena ou Quilombola;;
PERNAMBUCO;RECIFE;26123533;ESCOLA MONSENHOR ALVARO NEGROMONTE;ESTADUAL;Sim;30/07/2021;Sim;06/07/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;1037;26;27;1;Urbana;0;;
PERNAMBUCO;RECIFE;26123541;ESCOLA MUNICIPAL ANDRE DE MELO;MUNICIPAL;Sim;02/08/2021;Sim;20/07/2021;1;0;0;0;0;0;0;0;0;0;0;0;0;475;22;23;1;Urbana;0;;
PERNAMBUCO;RECIFE;26123550;ESCOLA MUNICIPAL DE TEJIPIO;MUNICIPAL;Sim;31/03/2022;Sim;20/07/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;449;17;20;1;Urbana;0;;
PERNAMBUCO;RECIFE;26123576;ESCOLA PRESIDENTE HUMBERTO CASTELO BRANCO;ESTADUAL;Sim;02/08/2021;Sim;06/07/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;86;2;8;1;Urbana;0;;
PERNAMBUCO;RECIFE;26123584;ESCOLA PROFESSORA OLINDINA ALVES SEMENTE;ESTADUAL;Sim;30/07/2021;Sim;06/07/2021;1;0;0;0;0;0;0;0;0;0;0;0;0;420;12;13;1;Urbana;0;;
PERNAMBUCO;RECIFE;26123630;ESCOLA MARECHAL RONDON - RECIFE;ESTADUAL;Sim;30/07/2021;Sim;06/07/2021;0;0;0;0;0;0;0;0;0;38;0;0;0;440;14;15;2;Urbana;0;;
PERNAMBUCO;RECIFE;26123720;ESCOLA BARAO DO BONITO;ESTADUAL;Sim;02/08/2021;Sim;06/07/2021;0;0;0;0;0;0;0;0;0;41;0;0;0;287;8;9;1;Urbana;0;;
PERNAMBUCO;RECIFE;26123770;ESCOLA HEROIS DA RESTAURACAO;ESTADUAL;Sim;30/07/2021;Sim;06/07/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;618;18;21;1;Urbana;0;;
PERNAMBUCO;RECIFE;26124092;ESCOLA MUNICIPAL ABILIO GOMES;MUNICIPAL;Sim;18/03/2022;Sim;20/07/2021;0;0;0;1;0;0;0;0;0;0;0;26;0;243;13;11;1;Urbana;0;;
PERNAMBUCO;RECIFE;26124475;ESCOLA BRIGADEIRO EDUARDO GOMES - RECIFE;ESTADUAL;Sim;31/07/2021;Sim;06/07/2021;0;0;0;0;0;0;0;0;0;83;0;0;0;1100;30;38;1;Urbana;0;;
PERNAMBUCO;RECIFE;26124513;ESCOLA MUNICIPAL CICERO FRANKLIN CORDEIRO;MUNICIPAL;Sim;02/08/2021;Sim;20/07/2021;0;0;0;0;0;0;0;0;0;59;0;0;0;644;24;19;1;Urbana;0;;
PERNAMBUCO;RECIFE;26124572;ESCOLA DELMIRO GOUVEIA;ESTADUAL;Sim;28/07/2021;Sim;06/07/2021;0;0;0;0;0;0;0;0;0;18;0;0;0;92;4;7;1;Urbana;0;;
PERNAMBUCO;RECIFE;26124599;ESCOLA ENEIDA RABELLO;ESTADUAL;Sim;30/07/2021;Sim;06/07/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;813;21;24;1;Urbana;0;;
PERNAMBUCO;RECIFE;26124645;ESCOLA JORNALISTA COSTA PORTO;ESTADUAL;Sim;30/07/2021;Sim;06/07/2021;0;0;0;0;0;0;0;0;0;44;0;0;0;560;14;22;0;Urbana;0;;
PERNAMBUCO;RECIFE;26124670;ESCOLA MARECHAL EURICO GASPAR DUTRA;ESTADUAL;Sim;29/07/2021;Sim;06/07/2021;16;3;0;0;1;0;0;0;0;42;8;0;0;467;14;20;0;Urbana;0;;
PERNAMBUCO;RECIFE;26124777;ESCOLA OTHON BEZERRA DE MELO;ESTADUAL;Sim;28/07/2021;Sim;06/07/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;372;11;12;1;Urbana;0;;
PERNAMBUCO;RECIFE;26124807;ESCOLA PROFESSOR JOSE VICENTE BARBOSA;ESTADUAL;Sim;20/07/2021;Sim;06/07/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;771;20;22;1;Urbana;0;;
PERNAMBUCO;RECIFE;26124831;ESCOLA PADRE LEBRET;ESTADUAL;Sim;02/08/2021;Sim;06/07/2021;0;0;0;0;0;0;0;0;0;6;0;0;0;1106;28;29;1;Urbana;0;;
PERNAMBUCO;RECIFE;26124840;ESCOLA MUNICIPAL MENINO JESUS;MUNICIPAL;Sim;02/08/2021;Sim;20/07/2021;0;0;0;0;0;0;0;0;0;20;0;0;0;146;6;6;1;Urbana;0;;
PERNAMBUCO;RECIFE;26124858;ESCOLA NOSSA SENHORA DA CONCEICAO;ESTADUAL;Sim;30/07/2021;Sim;06/07/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;174;7;8;1;Urbana;0;;
